publishedAt,title,description,url
2026-04-30T12:53:09Z,USTR Hears Testimony in Forced Labor Investigation That Could Determine Future Tariffs,The forced-labor investigations span major textile and apparel sourcing hubs across the globe.,http://wwd.com/sourcing-journal/trade/ustr-hearings-forced-labor-section-301-ieepa-tariffs-trump-china-1238934769/
2026-04-30T11:30:00Z,Hubbell Reports First Quarter 2026 Results,"Shelton, CT, April  30, 2026  (GLOBE NEWSWIRE) --   HUBBELL REPORTS FIRST QUARTER 2026 RESULTS   Q1 diluted EPS of $3.41; adjusted diluted EPS of $3.93 (up...",https://www.globenewswire.com/news-release/2026/04/30/3284729/0/en/Hubbell-Reports-First-Quarter-2026-Results.html
2026-04-30T09:12:23Z,Inventions for battery reuse and recycling increase more than 7-fold in last 10y,"As global battery demand continues to surge, the number of end-of-life batteries from electric vehicles alone is expected to grow from 1.2 million in 2030 to 14 million by 2040. Battery circularity technologies enable the reuse and recycling of these batterie…",https://www.epo.org/en/news-events/news/inventions-battery-reuse-and-recycling-increase-more-seven-fold-last-decade
2026-04-29T11:30:16Z,Hedging Is the New Normal,"For the foreseeable future, successful statecraft will depend on hedging.",http://foreignpolicy.com/2026/04/29/hedging-strategy-geopolitics-international-affairs-global-order/
2026-04-29T05:00:00Z,Norsk Hydro: Strong results reflect solid operational performance,"Hydro’s adjusted EBITDA for the first quarter of 2026 was NOK 8,668 million, down from NOK 9,516 million in the same quarter last year. Lower raw material costs, higher all‑in metal prices, and increased alumina and metal sales volumes, were more than offset …",https://www.globenewswire.com/news-release/2026/04/29/3283419/0/en/Norsk-Hydro-Strong-results-reflect-solid-operational-performance.html
2026-04-28T21:59:12Z,What is AI really costing the planet?,"Behind every prompt sits a vast, energy-hungry machine with a growing environmental bill nobody wants to pay.",https://uxdesign.cc/what-is-ai-really-costing-the-planet-ec14be648d65
2026-04-28T14:52:21Z,"EU Commission: Better Regulation “We need better legislation, but more importantly less of it”","Frankfurt, 28 April 2026 – Commenting on the European Commission’s communication on ‘Better Regulation and Enforcement of EU Law’, VDMA Executive Director Thilo Brodtmann says:

• “It is generally a good thing that the European Commission is still on track w…",http://pr.euractiv.com/?q=node/276356
2026-04-28T14:00:00Z,Capsular specificity in temperate phages of Klebsiella pneumoniae is driven by diverse receptor-binding enzymes,"Bacteriophages infecting Klebsiella pneumoniae show capsule specificity that strongly shapes host range, yet its basis in temperate phages is unclear. This study reveals diverse prophage-encoded receptor-binding enzymes, including esterases, that drive capsul…",https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3003716
2026-04-28T05:36:37Z,Greece enters European copper market,"Greece’s mineral-rich subsoil, together with the pivotal role of industry as a key pillar of growth, competitiveness and resilience for the Greek economy in an environment of heightened geopolitical and…
Greece enters European copper market - Η ΝΑΥΤΕΜΠΟΡΙΚΗ",https://www.naftemporiki.gr/english/2103527/greece-enters-european-copper-market/
2026-04-27T10:50:26Z,"Stock Market Highlights: Sensex, Nifty rebound, snap three-day losing streak on IT, Sun Pharma rally","Sensex, Nifty updates on 27th April 2026: Indian equities rebounded on Monday, snapping a three-day losing streak, as IT stocks recovered and Sun Pharmaceutical Industries surged on its Organon deal, while easing geopolitical concerns lifted overall market se…",https://www.thehindubusinessline.com/markets/stock-market-highlights-27th-april-2026/article70908560.ece
2026-04-27T09:22:46Z,"EU's Industrial Acceleration Act creates investment barriers, discrimination; China to defend firms' rights: MOFCOM","The EU's Industrial Acceleration Act imposes numerous restrictive requirements on foreign investment in four key emerging strategic sectors — batteries, electric vehicles, photovoltaics and critical raw materials — and introduces ""EU origin"" exclusivity claus…",https://www.globalsecurity.org/wmd/library/news/china/2026/04/china-260427-globaltimes01.htm
2026-04-27T07:37:45Z,Leading central banks play for time on interest rate rises,"Convulsions in energy markets, often driven by Donald Trump’s posts on Truth Social, are complicating inflation forecasts",https://www.irishtimes.com/business/2026/04/27/leading-central-banks-play-for-time-on-interest-rate-rises/
2026-04-24T14:00:00Z,Stance modals in Chinese EFL learners’ monologue tasks: A corpus-based study,This study investigates how Chinese tertiary-level EFL learners used modals as linguistic devices for expressing stances in spoken English. Modals convey speakers’ commitment to propositions (epistemic stance) and intentions to affect reality (effective stanc…,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0347841
2026-04-23T10:58:09Z,"Stock Market Highlights: Sensex, Nifty close in the red amid firm trend in crude oil prices","Sensex, Nifty, Share Prices Update: Sensex closed 852 points or 1.09 per cent lower at 77,664, while the Nifty ended at 24,173,down 205 points or 0.84 per cent lower",https://www.thehindubusinessline.com/markets/stock-market-nifty-sensex-highlights-23rd-april-2026/article70895504.ece
2026-04-22T15:47:46Z,How firms should react to rivalry between America and China in critical minerals,"The intensifying strategic competition between America and China is reshaping global trade, industrial policy and supply chains in ways that businesses can no longer ignore. Hany Besada explains how multinational firms must rewrite their strategies and re-rou…",https://blogs.lse.ac.uk/businessreview/2026/04/22/how-firms-should-react-to-rivalry-between-america-and-china-in-critical-minerals/
2026-04-22T06:13:38Z,A Modern AI Risk Management Framework,"* An AI risk management framework provides organizations with a structured approach to identifying, measuring, and mitigating AI risks across the full AI lifecycle — from data operations through model deployment and platform security
* The NIST AI RMF's four…",https://www.databricks.com/blog/ai-risk-management-framework
2026-04-21T14:00:00Z,Epigenetic gene regulation is controlled by distinct regulatory complexes utilizing specialized paralogs of TELOMERE REPEAT BINDING FACTORS,"Author summary By controlling access to DNA, epigenetic regulators enable cells to select different gene sets for expression or repression depending on the cell type, developmental stage, or environmental cues. These regulatory complexes rely on interactions …",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1012114
2026-04-21T10:30:00Z,"Sow Good Announces Transformative Acquisition of the Nachu Graphite Project, Positioning the Company as a Critical Minerals and Battery Anode Developer","IRVING, Texas, April 21, 2026 (GLOBE NEWSWIRE) -- Sow Good Inc. (Nasdaq: SOWG) (“Sow Good” or the “Company”), announces a transformative acquisition that will position the Company as a critical minerals and battery anode developer supplying high-purity natura…",https://www.globenewswire.com/news-release/2026/04/21/3277740/0/en/Sow-Good-Announces-Transformative-Acquisition-of-the-Nachu-Graphite-Project-Positioning-the-Company-as-a-Critical-Minerals-and-Battery-Anode-Developer.html
2026-04-21T09:25:01Z,"SocGen's stock chief breaks down why physical assets are his highest conviction trade right now, and shares 4 ways to invest",SocGen says the best investment opportunities right now are in commodities like metals and in stocks tied to demand for hard assets.,https://www.businessinsider.com/where-to-invest-now-physical-assets-metals-industrials-materials-gold-2026-4
2026-04-20T14:00:00Z,"Entry, replication and innate immunity evasion of BANAL-236, a SARS-CoV-2-related bat virus, in Rhinolophus and human cells","Author summary Bats are known reservoirs for viruses that cause severe diseases in humans, such as coronaviruses and filoviruses. Bat species naturally or experimentally infected with these viruses rarely exhibit clinical symptoms, suggesting an evolved toler…",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013573
2026-04-20T14:00:00Z,Limited protection against early-life lung murine cytomegalovirus infection results from deficiency of cytotoxic CD8 T cells,"Author summary Cytomegalovirus infection causes a significant health burden in neonates and therapeutic options are limited. Preclinical models are important to study the underlying mechanisms of this viral disease. In the present study, we found that activat…",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1014150
2026-04-17T14:00:00Z,Somatosensory input drives membrane potential dynamics in motor cortex during voluntary limb movement,"How does somatosensory input to the brain’s motor cortex contribute to limb movement? This study in mice shows that loss of somatosensory inputs disrupts voluntary forelimb movements and motor cortex neuronal dynamics, highlighting the role of somatosensory i…",https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3003749
2026-04-16T11:30:00Z,Meeting of 18-19 March 2026,The European Central Bank (ECB) is the central bank of the European Union countries which have adopted the euro. Our main task is to maintain price stability in the euro area and so preserve the purchasing power of the single currency.,https://www.ecb.europa.eu//press/accounts/2026/html/ecb.mg260416~6a27b0c258.en.html
2026-04-15T17:20:04Z,Hybrid quantum-classical computing gains momentum in Europe,"The European Union is taking ambitious steps to coordinate efforts by its member countries to achieve global leadership in quantum computing. The EU Quantum Computing Act, which is scheduled to take effect this year, aims to coordinate EU and national researc…",https://siliconangle.com/2026/04/15/quantum-technologies-eu-hybrid-computing-strategy-hpeworldquantumday/
2026-04-15T14:00:00Z,Large-scale phenotyping and comparative genomics reveal genetic features of Listeria persistence in epithelial cells,"Author summary Long regarded as a strictly cytosolic pathogen, Listeria monocytogenes is now revealing a dual lifestyle that includes intracellular vacuoles. Recent evidence shows that in epithelial cells this bacterium can enter a dormant state within acidic…",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1013323
2026-04-15T14:00:00Z,Circadian rhythms remain temperature compensated during a Q neuron–induced hibernation-like state in mice,"The circadian clock maintains a nearly constant period across temperatures, but to what extent temperature compensation operates in mammals during deep hypothermia is unknown. This study shows that mice maintain circadian rhythms during a hibernation-like hyp…",https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3003475
2026-04-15T09:11:18Z,"Good Sleep, Good Learning (2012)","Article URL: https://super-memory.com/articles/sleep.htm
Comments URL: https://news.ycombinator.com/item?id=47776557
Points: 4
# Comments: 1",https://super-memory.com/articles/sleep.htm
2026-04-15T05:00:00Z,ASML reports €8.8 billion total net sales and €2.8 billion net income in Q1 2026,"ASML reports €8.8 billion total net sales and €2.8 billion net income in Q1 2026ASML now expects 2026 total net sales to be between €36 billion and €40 billion, with a gross margin between 51% and 53%",https://www.globenewswire.com/news-release/2026/04/15/3274110/0/en/ASML-reports-8-8-billion-total-net-sales-and-2-8-billion-net-income-in-Q1-2026.html
2026-04-10T06:00:00Z,The weak point: Why pharmaceutical security belongs at the heart of European defence,"The weak point: Why pharmaceutical security belongs at the heart of European defence
fanny.pollet@i…
Fri, 04/10/2026 - 08:00


 5 minutes
 
 Every day we see examples of China and the United States using trade dependencies to advance political and economic in…",https://www.iss.europa.eu/publications/commentary/weak-point-why-pharmaceutical-security-belongs-heart-european-defence
2026-04-09T22:51:00Z,FDA Accepts NDA for TLX101-Px (Pixclara®),"MELBOURNE, Australia and INDIANAPOLIS, April 10, 2026 (GLOBE NEWSWIRE) -- Telix Pharmaceuticals Limited (ASX: TLX, NASDAQ: TLX, “Telix”) today announces that the United States (U.S.) Food and Drug Administration (FDA) has accepted the Company’s resubmitted Ne…",https://www.globenewswire.com/news-release/2026/04/09/3271481/0/en/FDA-Accepts-NDA-for-TLX101-Px-Pixclara.html
2026-04-09T07:00:00Z,USA Rare Earth Announces Carester Investment and Strategic Partnership in France,"USA Rare Earth and InfraVia to Acquire Strategic Minority Stakes in Carester, a Leader in Rare Earth Processing and Separation  Partnership Expands upon...",https://www.globenewswire.com/news-release/2026/04/09/3270663/0/en/USA-Rare-Earth-Announces-Carester-Investment-and-Strategic-Partnership-in-France.html
2026-04-08T13:32:00Z,Critical Minerals Race Heats Up as Antimony Demand Accelerates Worldwide,Market projections point to multi-billion-dollar growth amid supply constraints and geopolitical pressure Market projections point to multi-billion-dollar growth amid supply constraints and geopolitical pressure,https://www.globenewswire.com/news-release/2026/04/08/3270239/0/en/Critical-Minerals-Race-Heats-Up-as-Antimony-Demand-Accelerates-Worldwide.html
2023-03-20T21:06:01.000000Z,Euro Manganese Welcomes the European Critical Raw Materials Act,"VANCOUVER, British Columbia, March  20, 2023   -- Euro Manganese Inc.   welcomes the European Commission’s  proposed Critical Raw Materials Act  published on March 16, 2023, which outlines how... | March 20,  2023",https://www.marketscreener.com/quote/stock/EURO-MANGANESE-INC-49479454/news/Euro-Manganese-Welcomes-the-European-Critical-Raw-Materials-Act-43295334/
2023-11-14T16:15:00.000000Z,European Commission Reaches Political Agreement on the Critical Raw Materials Act,"TORONTO, Nov.  14, 2023  (GLOBE NEWSWIRE) -- Euro Sun Mining Inc., (TSX: ESM) (“Euro Sun” or the “Company”) is pleased to announce that the European...",https://www.globenewswire.com/news-release/2023/11/14/2780309/0/en/European-Commission-Reaches-Political-Agreement-on-the-Critical-Raw-Materials-Act.html
